current_sim,year,pop1, pop2, pop3, pop4, pop5
1,1,45,119,89,29,15,18,
1,2,7,156,84,41,11,17,
1,3,5,159,96,36,10,14,
1,4,4,166,124,37,12,14,
1,5,2,196,147,56,15,15,
1,6,3,196,185,52,16,17,
1,7,6,168,252,48,17,14,
1,8,4,142,262,53,17,16,
1,9,3,167,325,53,21,12,
1,10,5,182,373,55,18,10,
1,11,4,208,381,60,18,9,
1,12,10,222,434,67,22,7,
1,13,10,225,421,71,21,3,
1,14,4,219,396,68,26,3,
1,15,9,239,404,73,19,4,
1,16,11,291,393,70,25,2,
1,17,12,309,414,74,16,1,
1,18,11,268,399,77,18,0,
1,19,2,304,409,78,21,0,
1,20,10,293,407,83,19,0,
1,21,11,309,414,79,23,0,
1,22,7,291,427,93,29,0,
1,23,16,310,429,101,34,0,
1,24,20,309,430,96,31,0,
1,25,12,306,443,92,27,0,
1,26,12,320,392,94,21,0,
1,27,12,316,403,83,26,0,
1,28,7,340,434,106,27,0,
1,29,18,379,433,96,33,0,
1,30,17,388,438,91,31,0,
1,31,15,411,387,97,28,0,
1,32,13,431,371,87,30,0,
1,33,13,472,399,84,24,0,
1,34,14,497,432,94,23,0,
1,35,18,478,428,72,25,0,
1,36,15,531,430,64,24,0,
1,37,11,577,427,72,30,0,
1,38,16,611,388,59,24,0,
1,39,20,651,405,70,23,0,
1,40,28,650,401,73,17,0,
1,41,19,677,413,61,21,0,
1,42,17,696,427,67,19,0,
1,43,20,704,404,57,22,0,
1,44,24,719,423,54,19,0,
1,45,25,698,401,61,20,0,
1,46,21,697,382,57,24,0,
1,47,26,709,359,48,28,0,
1,48,26,720,423,52,37,0,
1,49,28,720,421,39,44,0,
1,50,26,713,415,47,47,0,
1,51,26,699,460,49,47,0,
1,52,15,747,456,46,64,0,
1,53,31,732,437,47,67,0,
1,54,25,717,461,51,61,0,
1,55,25,699,433,55,58,0,
1,56,19,710,465,56,63,0,
1,57,24,685,437,61,62,0,
1,58,25,668,399,49,62,0,
1,59,14,705,391,53,69,0,
1,60,17,688,397,53,71,0,
1,61,21,670,405,56,89,0,
1,62,13,648,450,64,84,0,
1,63,24,658,436,61,83,0,
1,64,16,671,409,53,100,0,
1,65,20,650,438,46,112,0,
1,66,15,683,452,47,121,0,
1,67,26,634,434,37,151,0,
1,68,16,692,456,36,152,0,
1,69,16,713,426,33,165,0,
1,70,25,683,412,33,203,0,
1,71,17,695,415,29,225,0,
1,72,33,712,443,28,237,0,
1,73,17,701,436,31,251,0,
1,74,28,727,449,33,260,0,
1,75,22,718,408,39,308,0,
1,76,26,671,440,38,328,0,
1,77,17,742,415,38,363,0,
1,78,34,729,418,42,403,0,
1,79,26,691,433,35,386,0,
1,80,20,699,442,27,406,0,
1,81,25,725,436,26,446,0,
1,82,39,681,418,25,448,0,
1,83,40,683,397,29,441,0,
1,84,31,683,415,24,430,0,
1,85,18,699,436,23,511,0,
1,86,32,721,422,32,503,0,
1,87,46,720,409,34,492,0,
1,88,50,711,432,29,483,0,
1,89,35,717,413,27,485,0,
1,90,40,741,442,34,500,0,
1,91,56,688,442,31,482,0,
1,92,30,678,475,25,485,0,
1,93,29,720,453,29,460,0,
1,94,32,725,445,24,446,0,
1,95,31,665,425,21,442,0,
1,96,26,754,445,26,463,0,
1,97,45,774,440,22,461,0,
1,98,40,746,415,22,488,0,
1,99,48,720,425,19,501,0,
1,100,48,738,438,19,477,0,
